age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,None,None,Over-time,United-States,small
Middle-Aged,State-gov,Assoc-acdm,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,None,None,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,None,None,Over-time,United-States,small
Old,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,High,None,Full-time,United-States,large
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,None,High,Full-time,United-States,large
Young,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Full-time,United-States,small
Senior,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,large
Senior,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,Germany,large
Middle-Aged,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Part-time,United-States,small
Senior,Federal-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Full-time,United-States,small
Old,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,State-gov,Some-college,Separated,Adm-clerical,Own-child,Black,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,None,None,Full-time,United-States,small
Senior,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,None,None,Full-time,United-States,small
Senior,Self-emp-not-inc,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,None,None,Over-time,United-States,small
Senior,Private,Assoc-voc,Divorced,Tech-support,Other-relative,White,Female,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Full-time,United-States,small
Young,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Senior,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Full-time,United-States,large
Young,Private,HS-grad,Never-married,Sales,Unmarried,Black,Female,None,None,Full-time,United-States,small
Senior,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Widowed,Other-service,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Federal-gov,Bachelors,Divorced,Tech-support,Unmarried,Black,Female,None,Low,Full-time,United-States,small
Middle-Aged,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,Over-time,United-States,large
Senior,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Black,Female,None,None,Full-time,United-States,large
Young,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,Low,Full-time,United-States,small
Young,Private,11th,Never-married,Other-service,Own-child,White,Female,None,None,Part-time,United-States,small
Senior,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,large
Old,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,None,Part-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Workaholic,United-States,small
Middle-Aged,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Full-time,Mexico,large
Young,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,None,None,Full-time,United-States,small
Young,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Full-time,Mexico,small
Old,Local-gov,HS-grad,Widowed,Adm-clerical,Not-in-family,Black,Female,None,None,Part-time,United-States,small
Middle-Aged,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,large
Senior,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Self-emp-not-inc,11th,Separated,Other-service,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Full-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Transport-moving,Wife,Black,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,None,None,Full-time,United-States,small
Senior,Federal-gov,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Low,None,Full-time,United-States,small
Young,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,None,None,Full-time,United-States,small
Young,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Over-time,United-States,large
Middle-Aged,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,None,None,Full-time,United-States,small
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,High,Over-time,United-States,large
Middle-Aged,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,None,None,Full-time,Haiti,small
Young,State-gov,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Self-emp-not-inc,Assoc-acdm,Divorced,Sales,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,None,None,Full-time,Poland,small
Senior,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Workaholic,United-States,large
Young,Private,Some-college,Never-married,Tech-support,Own-child,White,Male,None,None,Full-time,United-States,small
Young,Self-emp-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Full-time,United-States,large
Young,State-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,Part-time,United-States,small
Senior,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,Other,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Separated,Sales,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Separated,Other-service,Other-relative,Black,Female,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Young,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Young,Private,HS-grad,Never-married,Transport-moving,Unmarried,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,None,Low,Over-time,United-States,small
Middle-Aged,Private,11th,Never-married,Craft-repair,Not-in-family,Black,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,small
Young,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Full-time,United-States,small
Senior,Private,Assoc-acdm,Divorced,Machine-op-inspct,Not-in-family,White,Male,None,None,Workaholic,United-States,small
Young,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Sales,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,State-gov,Masters,Divorced,Exec-managerial,Unmarried,White,Female,Low,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Senior,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,United-States,small
Young,State-gov,Some-college,Never-married,Other-service,Own-child,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Private,1st-4th,Widowed,Other-service,Other-relative,White,Female,None,None,Part-time,Mexico,small
Young,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,Some-college,Never-married,Machine-op-inspct,Not-in-family,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,None,None,Full-time,Philippines,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,None,None,Full-time,United-States,small
Senior,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Local-gov,Masters,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,None,None,Full-time,United-States,small
Senior,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Other-service,Own-child,White,Male,None,None,Full-time,United-States,large
Old,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,Low,Part-time,United-States,large
Middle-Aged,Private,HS-grad,Separated,Other-service,Other-relative,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,large
Senior,Local-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Female,High,None,Full-time,United-States,large
Middle-Aged,Private,Some-college,Divorced,Prof-specialty,Unmarried,Black,Female,None,None,Full-time,United-States,small
Senior,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Full-time,United-States,small
Young,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,None,None,Full-time,Canada,small
Senior,Private,11th,Married-civ-spouse,Other-service,Wife,Black,Female,None,None,Full-time,United-States,large
Middle-Aged,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Full-time,Poland,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Self-emp-not-inc,11th,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Full-time,Mexico,small
Young,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Part-time,United-States,small
Senior,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Sales,Own-child,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Local-gov,HS-grad,Never-married,Prof-specialty,Own-child,Black,Female,None,None,Full-time,United-States,small
Senior,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Other,Male,None,None,Full-time,India,large
Senior,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Female,None,None,Full-time,United-States,small
Senior,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,large
Senior,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Full-time,United-States,large
Senior,Federal-gov,7th-8th,Widowed,Other-service,Unmarried,White,Female,None,None,Full-time,Puerto-Rico,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Senior,Private,10th,Married-civ-spouse,Other-service,Wife,White,Female,None,None,Part-time,United-States,small
Young,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Young,Private,11th,Never-married,Craft-repair,Own-child,White,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Part-time,United-States,small
Young,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,None,None,Full-time,Cuba,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Full-time,United-States,large
Young,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,Assoc-acdm,Married-civ-spouse,Priv-house-serv,Other-relative,White,Female,None,None,Full-time,Poland,small
Middle-Aged,State-gov,HS-grad,Never-married,Protective-serv,Own-child,White,Male,Low,None,Full-time,United-States,small
Senior,Federal-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Male,None,None,Full-time,United-States,small
Senior,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Over-time,United-States,large
Young,Private,11th,Never-married,Other-service,Own-child,White,Female,None,None,Part-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,Full-time,United-States,small
Middle-Aged,Local-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Male,None,None,Over-time,United-States,small
Young,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,None,Over-time,United-States,large
Middle-Aged,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,large
Senior,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,Over-time,United-States,large
Young,Private,11th,Never-married,Other-service,Own-child,White,Male,None,None,Part-time,United-States,small
Senior,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Full-time,United-States,small
Old,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Senior,Private,5th-6th,Divorced,Farming-fishing,Unmarried,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,None,None,Full-time,Portugal,small
Senior,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Full-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Part-time,United-States,small
Young,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Over-time,United-States,small
Young,Private,1st-4th,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,Over-time,Mexico,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,None,None,Part-time,England,large
Middle-Aged,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Sales,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Over-time,United-States,small
Senior,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Young,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,High,None,Over-time,United-States,large
Young,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,Workaholic,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,None,None,Full-time,Scotland,small
Middle-Aged,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Divorced,Adm-clerical,Other-relative,Black,Female,None,None,Full-time,United-States,small
Senior,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Preschool,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,Nicaragua,small
Senior,Private,9th,Divorced,Sales,Not-in-family,White,Male,None,None,Full-time,United-States,small
Senior,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,None,Low,Workaholic,United-States,small
Middle-Aged,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Low,None,Full-time,Columbia,small
Middle-Aged,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Black,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,11th,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,Low,None,Full-time,United-States,small
Middle-Aged,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,None,None,Workaholic,Japan,large
Middle-Aged,Private,10th,Never-married,Handlers-cleaners,Other-relative,White,Male,None,None,Full-time,Mexico,small
Young,Private,9th,Never-married,Transport-moving,Own-child,White,Male,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,None,None,Part-time,United-States,small
Old,Private,1st-4th,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Part-time,Poland,small
Middle-Aged,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,Female,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,None,None,Full-time,Nicaragua,small
Middle-Aged,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Divorced,Adm-clerical,Other-relative,White,Female,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Over-time,United-States,small
Senior,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Full-time,United-States,large
Young,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,11th,Never-married,Other-service,Own-child,White,Female,None,None,Part-time,United-States,small
Senior,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,None,Full-time,South,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Young,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,None,Part-time,United-States,small
Senior,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Local-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,High,None,Full-time,United-States,large
Young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,None,None,Full-time,India,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,High,None,Full-time,United-States,large
Young,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,None,None,Workaholic,United-States,small
Middle-Aged,Private,10th,Never-married,Other-service,Unmarried,Black,Female,None,None,Full-time,Jamaica,small
Senior,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,None,None,Full-time,Haiti,small
Senior,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Senior,State-gov,Some-college,Divorced,Craft-repair,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,None,None,Over-time,South,large
Senior,Private,Masters,Divorced,Tech-support,Not-in-family,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,None,None,Over-time,Laos,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,Over-time,United-States,large
Young,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,None,None,Over-time,United-States,small
Senior,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,large
Young,Private,HS-grad,Never-married,Sales,Own-child,White,Female,None,None,Part-time,United-States,small
